And another shooting... https://t.co/aYfTWoR7QJ,carolynklimp1
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Archimamamia
RT @ABCWorldNews: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokes…,ladyhatsu
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,SpaceRacer423
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,realomoboy
Two Contractors Critically Wounded in Kansas School Shooting https://t.co/7AnyAypqmA,WLTX
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,JessCookHOINews
RT @wvjoe911: Co-worker allegedly shoots 2 contractors installing playground equipment at Kansas elementary school  - ABC News - https://t.…,BlueCrew2020
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,PrincessBasmah
Interesting that this isn’t major headline news.. https://t.co/aMhV2jHyko,katherinernails
Here’s an example of “fake” real news. Today’s headline “School Shooting in Kansas” it did happen at a school  no s… https://t.co/lym6553OrE,jrussell20941
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,a20neves
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,47abc
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,lydlpr
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Sheanderthal
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,ReaganCBrown
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,ReaganCBrown
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,ReaganCBrown
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,eu504
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,igneousidol
アメリカでまた。今度は小学校が狙われたようです。 https://t.co/LKMBWiNdEn,hidezumi
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,eu504
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,siliconisdead1
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,rfoust62
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,6rateful
Worker dies  another critically wounded after shooting outside elementary school https://t.co/XPegfmnxKj via… https://t.co/iziHhM22Ts,Shahydat
Elementary school. Elementary school.   I guess @DLoesch will say elementary school children need guns now? https://t.co/mTRHgSBj0y,AnitaM86
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Realchrismath
RT @wordsbyhadley: Awful news from Kansas. One person has died and another in a critical condition  after a shooting in an elementary schoo…,nlygo
RT @ABCWorldNews: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokes…,Patrici49625372
RT @ABCWorldNews: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. http…,Patrici49625372
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,kateacosta5
About time!! https://t.co/a3EAae6kFR,Debbieamatthews
School was not in session; victims are construction workers for context. https://t.co/say6o8wGAC,RobertoCSada
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Debbieamatthews
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,kateacosta5
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,kateacosta5
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,BatFerret
So #Congress doesn’t think they can do anything to prevent #schoolshootings? Wonder if they’ve heard of #DHS ? https://t.co/lq9FJgYs4x,knight_tracker
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,Because_Im_X
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,kittykat491968
The suspect in this morning's shooting in Overland Park has been identified as Anthony David Grable of Kansas City.… https://t.co/5mtCNBFSfK,kc_wx_news
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Because_Im_X
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,pmalan1979
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Because_Im_X
🚨🚨🚨BREAKING🚨🚨🚨  The suspect in the shooting of 2 people outside Sunrise Point Elementary School in Overland Park Ka… https://t.co/JnILoMHx9x,angiekay500
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,basmatichawal1
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,ainarsbr11
Oh my god https://t.co/hEIbGNlAfN,noprahhh
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,AlBoeNEWS
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,Ore_Quacksta
https://t.co/WTNdMV1JlW,vdavis114
RT @ABCWorldNews: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokes…,CrimsonPoise2k5
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,CrimsonPoise2k5
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,DavidNews2U
RT @AnitaM86: Elementary school. Elementary school.   I guess @DLoesch will say elementary school children need guns now? https://t.co/mTRH…,LeahNMA
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,srDP_is_me
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,alyse_gurak
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,knight_tracker
RT @OANN: #DEVELOPING : 2 Workers Shot at Kansas Elementary School  Search for Suspect Underway - https://t.co/mRPgqplxz1 #OANN https://t.c…,KFerrugia
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,HamiltonRosalie
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,FriseSally
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,MasterrrrrP
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,sarachong
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,BamaSusanG
Two contractors critically wounded in Kansas school shooting https://t.co/Ae2l8OOoVP https://t.co/VizeROmrf0,KREM2
Two contractors critically wounded in Kansas school shooting https://t.co/JByTPoLUeX https://t.co/Wlagl66D9N,9NEWS
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,SheviStories
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,rumijulie
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,TheeJenAngel
What is wrong with people???  Co-worker allegedly shoots 2 contractors installing playground equipment at Kansas el… https://t.co/qxsMZgAz6b,rob_shehan
